#,type,text,label,aggregatedAnnotationConfidence,annotator1,annotator2,annotator3
1009,C7,ايه يا عم بلال قلب جمد تاني ولا ايه؟,0,1,0,0,0
1012,C10,بلاش غلط انت المفروض الى تعلمنا الاحترام يا كابتن,0,1,0,0,0
1013,TWEET,ما لم يتم حذفه من الحلقة التي قدمتها عقب وقوع مذبحة ماسبيرو في قناة التحرير، لكي لا يتم محو الذاكرة كاملة,0,1,0,0,0
1015,C2,مفيش قبل ولا بعد الحقلة دي.,0,1,0,0,0
1016,C3,فاكرها كانى شفتها امبارح كنت موجوع يومها ولازلت,0,1,0,0,0
1024,TWEET,"""الملائكة لم تحارب معنا في ستة أكتوبر!  مقال اليوم مع التحية  وتأمل في ظاهرة توظيف الدين في خدمة الأنظمة""",0,0.6667,-1,0,0
1025,C1,"""احساس عظيم وانا اقرا الكومنتات على اي منشور او مقال من الي بتنشرهم! مستويات عجيبة من البشر""",0,0.6667,-1,0,0
1027,C3,هو انت أصلا مؤمن بالملائكة,0,0.6667,-1,0,0
1028,C4,ليس من باب النكد ولكن من باب تأمل قدرة الله كم كانت مكانتك في عهد الديكتاتور مبارك والآن ولا كلمة ولا نفس محدش عارف الخير فين,0,0.6667,-1,0,0
1029,C5,الملائكة لم تنزل لا في حرب ٦ أكتوبر و لا في عهد النبي و لا في أي عهد آخر. كل هذه المرويات لا تتعدي كونها خرافات.,0,0.6667,-1,0,0
1031,C7,ماشي بس ياريت يا استاذ بلال يكون فيه ثبات علي المبدأ ولن ازيد,0,0.6667,-1,0,0
1032,C8,المشكله مش ف الي بينشروا الخرافات والجهل المشكله ف الناس اللي بتصدق . طول مافيش تعليم ووعي هنفضل ملطشه للناس دي,0,0.6667,-1,0,0
1033,C9,تمام بس المشكلة انه حشر الشيخ الشعراوى فى الموضوع ومكنش موضوعى ولا امين ولانه مش موافق عليه فصنفه.ممكن اكون غلطان,0,1,0,0,0
1034,C10,انت جميل يا بلال. بس خلاص,0,1,0,0,0
1035,TWEET,"""جمهورية الخوف الهزلية!  الجزء الثاني من مقالي بالأمس: (حروب الجيص الرابع) ومناقشة لظاهرة توظيف الخوف الجماعي""",0,0.7143,0,-2,0
1039,C4,أجمل مافيك يابلال انك بتكتب اللى تعتقده ولاتلتفت للسفلة اللى هايعرفوا مدى اخلاصك لما هايلبسوا فى الحيط,0,0.3571,0,-2,-1
1041,C6,واضح إنك راجع وجايب آخرك بمقالات عميقة عن الدولة العبيطة .. عايزين بقى مقالات في مستوى وزير التعليم المصري,0,0.7143,0,-1,0
1042,C7,خانك التعبير في العنوان.. عيب ويفتقد للذوق واللياقة الا لو كنت بتخاطب عقليات معينة تتوافق مع هذا الشطط,0,0.7143,0,-1,0
1049,C3,فلتكن لك أستاذية ... أين أستاذيتك ؟,0,0.7143,0,0,-1
1053,C7,هو فى الاساس كان مشروع كل دولة على حدة مش جميع الدول العربية ودة كان واضح جدا للي عندة بعد نظر مش بيبص تحته .,0,1,0,0,0
1054,C8,للاسف خيبتنا فى نخبتنا,0,1,0,0,0
1057,TWEET,تعليق كتبته على إغلاق قنوات (عصير الكتب) و(الموهوبون في الأرض) و(التلفزيون العربي) على يوتيوب ,0,1,0,0,0
1058,C1,لك اللة اللهم ثبتك على مبداك ولاتكن من الدين باعوا اخرتهم بدنياهم  اعلم كم تعانى ولكن حبك فى قلوبنا ربما يعينك على ماانت فية,0,1,0,0,0
1059,C2,برايك؛  لحد امتي هتفضل حاله الجزر الثوري او عدم الحراك في الشارع خاصتا ان حضرتك عارف ان اللي احنا فيه حصل لثورات قبلنا كتير؛  ح,0,1,0,0,0
1060,C3,"""زي ماتقفلت ببساطة ترجع ببساطة و انت استمر و احنا متابعيك و خليهم يخبطو راسهم بالحيطة ماتستسلم و واصل""",0,1,0,0,0
1062,C5,والله كنت شاكك بس قولت ماتوصلش بيهم التفاهة لكده,0,0.6667,0,0,-1
1063,C6,هو فعلا الافكار الصح بتنتصر ولا ده وهم .. مفيش امل,0,1,0,0,0
1064,C7,"""الأفكار لها اجنحة محدش يقدر يمنعها توصل للناس  يوسف شاهين """,0,1,0,0,0
1065,C8,طب واخرة النفق المظلم دا ايه هايفضلوا يمنعوا ويوقفوا و يكمموا الافواه لاي حد مش ع هواهم. حسبنا ونعم الوكيل,0,0.6667,-1,0,0
1067,C10,حتى الموهوبون في الارض !!! مع انه ما لوش في السياسة ربنا يفرجها على الامة العربية و الاسلامية,0,1,0,0,0
1068,TWEET,"""الوثائق السرية لحرب أكتوبر ترى النور أخيرا  مقال اليوم مع خالص التحية لأبطال وشهداء العبور""",0,1,0,0,0
1069,C1,كلام كل سنه,0,0.6923,-1,0,0
1070,C2,في انتظار ما سيتم نشره من وثائق باذن الله ..دائما متآلق,0,1,0,0,0
1071,C3,استاذ بلال مش محتاجين وثائق حرب أكتوبر السرية محتاجين رفض لوثائق الخونة العلانية الموجودة الان انا اعتبر ما تكتبه هروب,0,0.6923,-1,0,0
1072,C4,للأسف انتماءك لحركة الإخوان تطغى على انتمائك الوطني .. هل من الصعب أن تخلص لقلمك و قرائك بأن تنزه كتاباتك من الطائفية المقيتة ؟ن,0,0.6923,-1,0,0
1073,C5,طائفية ايه روحي اقرأي كده عن الوقفة التعبوية بعد العبور اللي أعطت الفرصة للثغرة و احتلال الجولان و قلب الحرب,0,0.6923,-1,0,0
1077,C9,يا عم بلال احنا محتاجين  نتعلم ونتثقف من جديد,0,1,0,0,0
1078,C10,نت فين يابلبلتى لسة هناك مش ناوى ترجع ياحبببى انا حضرتك الكورنفليكس,0,0.6923,-1,0,0
1079,TWEET,#عصير_الكتب | مع الكاتب #بلال_فضل | الحلقة 16.. ماذا لو كان النبي حياً بيننا الآن؟,0,1,0,0,0
1080,C1,الم يقل الله لتكونوا أمتا وسطا ويكون الرسول شهيدا عليكم اليس الشهيد حيا بل أحياء عند ربهم يرزقون,0,1,0,0,0
1083,C4,"""فين دة؟  علشان مخدتش بالى""",0,1,0,0,0
1084,C5,لو كان بيننا لما جاء لا الإخوان و لا داعش و لا ال سعود و لا خلافات لا إسلامية,0,1,0,0,0
1086,C7,مبلاش تدخل نفسك في الرسول خليك في اي شخصيه تاريخيه اسلاميه احسن عشان متخسرش ناس اكتر من كدهودي رسالة محب,0,1,0,0,0
1087,C8,ليته كان حيابيننا سنكون جميعا من الصحابه ويدخل الجنه  الله,0,1,0,0,0
1088,C9,ياريت كانت اتغيرت اخلاقيات كثيره و اولها الحكام,0,1,0,0,0
1090,TWEET,رابط مشاهدة الحلقة 13 من عصير الكتب وحديث عن هنري ميللر ونعمان عاشور وساراماجو ومكتبات غزة والطيب صالح ورضوان السيد,0,1,0,0,0
1091,C1,أغسطس راح ع خير أستاذ بلال ،، فين المقالات,0,1,0,0,0
1092,C2,حضرتك اتأخرت علينا اوي يا أستاذ فين مقالات حضرتك؟نتمنا خيراً,0,1,0,0,0
1093,C3,"""برنامج أكثر من رائع ومن الظلم عدم الإعلان والترويح عنه في أوساط المثقفين بشكل جيد شكرًا لك""",0,1,0,0,0
1094,C4,"""خسارة ان حد موهوب زى بلال فضل مش موجود على الساحة فى مصر دلوقت الأصوات المغردة خارج السرب هى ما يصنع مجد الوطن  بس مين يفهم ....""",0,1,0,0,0
1095,C5,ما هو لو كام موجود علي الساحه المصريه دلوقت كنت مش هصدقه,0,1,0,0,0
1096,C6,أستاذنا العزيز بلال فضل يحزنني أن يتم حذف حلقات عصير الكتب الذي أجده مهما جدا في هذهالمرحلة من حياة أمتنا المبجلة بالإحباطات 1/2,0,1,0,0,0
1097,C7,،برنامج يدعو للتفكير أكيد يمنعوه لأنهم خوافون وليس فقط خائفين.2/3,0,1,0,0,0
6,C5,أنت أزاي لبؤة كدة ؟ ,1,0.6667,-1,-2,-2
16,C4,كما قال الدكتور مرسي بالضبط الحرية مسؤلية و الشرمطة مرمطة,1,1,-2,-2,-2
41,C7,البرنس اللي قالها جزمته برقبه امك عارف امك ياله والا اجبلك عمك مرتضي منصور يفكرك بالمفضوحه يوووو قصدي المرحومه يابن العالمه,1,1,-2,-2,-2
46,C1,"""انت فعلا قذر عشان تشمت في بلدك بالطريقة دي .. ملعون ابوك يا شيخ """,1,1,-2,-2,-2
48,C3,لا دي شمتاتة .. و عايز جنازة يشبع فيها لطم ميعرفش يخي قمية الحقد و الغل اللي عنده ابدا .. انسان قذر,1,0.7222,-2,-2,-1
54,C9,الله يرحمه ابوك مخلف خول رسمي,1,1,-2,-2,-2
91,C2,الوسخة تبقي امك يا عرص يا ابن العرص لما تشتم بلدك علشان خول زي باسم اتفوووووووو,1,1,-2,-2,-2
117,C6,كدة بقي كس امك بدون لحظة تردد واحدة,1,1,-2,-2,-2
222,C1,كذبت يازنديق انت والسيسي الابواق لليهود لماذالاتتكلم عن مايفعله السيسي باهلنابغزه ياقذر,1,0.6429,-2,-1,-2
229,C8,على جمعه يامعرص لايوجد انجس منك واللوم على كلاب اليوم السابع التى تستضيف أشكال قدرة مثلك ومثلهم,1,0.6429,-2,-1,-2
236,C4,اليوم السابع الامنجية وصناع الدعارة والمرتشين الشراميط. . الإخوان أشرف منكم يامعرصيين وليس لديهم قضية فساد أو إخلال بالشرف,1,1,-2,-2,-2
242,C10,هبل ولاد كلب,1,1,-2,-2,-2
257,C3, تحرش بها في الحافلة و الفتاة مستمتعة !!! :O,1,0.6154,-2,0,-2
268,C3,يمثلك انت يعنى معرصين مثلك,1,0.7692,-2,-1,-2
274,C9,"""وانا مش عايز انتخب يا عرص  أنا حر وبراحتي بقي""",1,0.7692,-2,-1,-2
277,C1,جريدة معرضة وكذابة كل حاجة اخوان يا مفضوحين طيب وجرائم العرص فى حق المتظاهرين الثوار فين فين يايهود والله انتم اوساخ وعار على مصر,1,1,-2,-2,-2
278,C2,في ايه ياعم ياسر هوانت لازم كل يوم تحرق دمنا على الصبح كده مش كفايه قنوات التعريض بتعتهم  اليوم السابع دى ابو التعريض,1,0.7143,0,-2,-2
284,C8,هو كل حاجه اخوان يا ولاد الوسخه,1,1,-2,-2,-2
285,C9,ياولاد الوسخه يامعرصين ياكدابين ياولاد الكلب,1,1,-2,-2,-2
301,C3,رجل عرص اوى,1,1,-2,-2,-2
303,C5, اصل العساكر والجنود ولاد كلب يعني,1,0.6667,-2,-1,-2
304,C6,حمرا,1,1,-2,-2,-2
305,C7,هههه وحياة امك,1,0.6667,-1,-2,-2
307,C9,هو يا راجل انتا مش قولنالك اسكت وبطل تهتهه يخربيتك يا كلب يا عميل الصهينه والامريكان امك عامله ايه,1,1,-2,-2,-2
308,C10,ياواطى معلقتش ولا كلمة على المستشفى اللى انضربت من اولياء نعمتك فى افغانستان ومات وعشرين واحد مات غير الاصابات ولا دول مش مدنيين,1,1,-2,-2,-2
314,C5,هههههه لما العرص يحط دي ✌ علي النسر الحزين,1,0.6667,-1,-2,-2
315,C6,راجل مش عرص زي سيدك,1,0.6667,-1,-2,-2
317,C8,طظظظ فيك وفي رابعة بتاعتك خليها تاكلك بقى,1,0.6667,-1,-2,-2
323,C3,صفر ايه وحياه امك اللى ابتديت منه بلا فقعه,1,0.3846,-1,0,-2
325,C5, لو19 سعه شغل يخلوك تتجوز هيفاء وهبى أنا مستعد أشتغل سنه كل يوم ياحيلة أمك وأجوز نانسى وهيفا وروبى,1,0.3846,-1,0,-2
326,C6,وحياة أمك دانت لواشتغلت 200 ساعه فى اليوم متعملش ربع المليارات اللى عندك ياولاد الحرميه متستفذوش الشعب اللى انتو بتسرقوه,1,0.7692,-2,-1,-2
337,C6,""" انت عايز تولع في دين ابو البلد وخلاص وعمال تلغوص ب كلام هرتله  انت اكبر مثال علي الحقد الطبقي""",1,0.6667,-2,-1,-2
340,C9, انت لسه عايش يا فاشل يا ابن الفاشل  هههههههههههههههههههههههه,1,1,-2,-2,-2
346,C4,اخرس يا عرصين .. هو انت لسه ليك نفس تتكلم.. لما الاخوان وحشين جوزت أختك لمحمد عامر مرشحهم للشورى ٢٠٠٥ و القيادي الإخواني ليه؟,1,1,-2,-2,-2
348,C6, الانقلاب ده عند امك يا لوح !!!!,1,0.7143,-2,-2,-1
351,C9,قشطه عليك يابو سلمي..بس ايه رأيك في سيدك السيسي ..اشكره انه عبرك وارسل لك دعوه لحضور اﻻحتفال ..انت جزمه وﻻ تسوي ياحمضين,1,0.6429,-2,-1,-2
354,C1,الله يلعنك انت وهو قول أمين,1,0.6667,-2,-2,-1
356,C3,"""هههههههه طلع الخروف اللي جواك ياعرص وجاوب انت فيه رئيس خريج سجون فيه رئيس يتامر علي بلده فيه رئبس يهرب اسرار بلده""",1,0.6667,-2,-1,-2
359,C6,دونت ميكس .جاز والكهول .والدرنك ...وسلم علي الجاسوس ابن سنيه ..المهم ان العصابه الوسخه كلها في السجون .واﻻعدام قادم ﻻ محاله,1,1,-2,-2,-2
361,C8,كسمك علي كسم مرسي وكسم اﻻخوان كلهم في تلسجون زي الكﻻب ياوﻻد المتناكه ,1,1,-2,-2,-2
368,C4,كس امك,1,1,-2,-2,-2
380,C5,العجلة دي تبقي امك,1,0.6667,-2,-1,-2
382,C7,الليه دي عندة يا خروف روح مأمأ بعيد يا ابن العجلة بلوك,1,1,-2,-2,-2
392,C6,واحنا لن ننسي انك كومبارس ومعرص ابن وسخة ومهما فعلت ياعلق هتفضل في نظر الكل مجرد كومبارس خخخخخخخخخخخخخختفو عاللي خلفتك,1,0.8235,-2,-2,-1
401,C4,هاهاها لسه عايش وبيعرص اهو، انا افتكرته مات فعلا لحد مانط علينا بالتعريصه دي فقلت احا بقى,1,0.6667,-2,-2,-1
402,C5, يا حمديين ياعرص ؟؟؟ أمك عارفه ؟!,1,1,-2,-2,-2
418,C10,وادام انت بتايده يبقا واطي زيك,1,0.6667,-1,-2,-2
422,C3,"""انت طلعت من السرداب يا حمتين  فيه تعليمات جديده من مخابرات العرص  وهنشوف طلعتك البهيه قريبا""",1,0.6429,-2,-2,-1
429,C10,تحية لامك علشان خلفت نطع زيك يا بغل روح يا بنى شوفلك شغلانة كل منها عيش ولا قبضت  الشيك علشان كدة طالع تعمل بلقمتك,1,0.6429,-1,-2,-2
436,C6,بس يا كومبارس يا بن الوسخة,1,1,-2,-2,-2
437,C7,"""حمدين ..... ابقي اتغطي كويس وما تاكلش سمك ولا بيض وهانجوزك هنومة ان شاء الله""",1,0.6429,-1,-2,-2
439,C9,كسمك يا ابو لمعه يا خول ,1,1,-2,-2,-2
443,C2,دول لجان الكترونية تبع المخابرات وشلة شراميط مش لاقية رجالة .. حريم حكاكه,1,1,-2,-2,-2
444,C3,من انحرافات صلاح نصر الى مخابرات الشتم و السب و تربية الشراميط.,1,1,-2,-2,-2
448,C7,أفرك حلمات بزازك أحسن هترتاح يا دكتور مرسي,1,1,-2,-2,-2
451,C10,اسال امك وهى بتتجلد وهى بتتناك,1,1,-2,-2,-2
455,C3,وانا اجدد البيعة لامك وامه وكسمك علي كسمه,1,1,-2,-2,-2
457,C5,طيزك حمرا يا مقلوب,1,1,-2,-2,-2
458,C6,يلا يا ابن اللبوة,1,1,-2,-2,-2
459,C7,بس يا شرموط يالبن القرد,1,1,-2,-2,-2
460,C8, يالا يابن المرة الوسخة كسمك علي كسم ابوك راجل خوب مخلف عيل متناك,1,1,-2,-2,-2
462,C10,كسم كل كلاب السيسي يا ريس ... عاش نضالك يا ريس,1,1,-2,-2,-2
467,C4,رئيس مين يا روح امك؟,1,1,-2,-2,-2
468,C5,شوف حد ينيكك,1,1,-2,-2,-2
470,C7, تتكلم مع رئيس جمهورية مصر العربية باحترام  ياقذر ياعبد اللبيادة ياكلب,1,1,-2,-2,-2
471,C8,ايه الصوت الخرا اللي سمعتة دة؟ هههههههه انت بتغني زي البنات الحايحة كدة لية؟ ههههه و انت لا صوت و لا شكل كمان؟ بتغني ليه يا خروف؟,1,1,-2,-2,-2
473,C10,فهموك انه خرب البلد في سنة ياابن الرقاصة ؟ طيب وعميل الموساد اللي بيحكمك دلوئتي ياندل يابن الندل,1,1,-2,-2,-2
486,C1,بس يا خول يا ابن الخول,1,1,-2,-2,-2
491,C6,بس يا متناك,1,1,-2,-2,-2
492,C7, واضح انك مبسوط عندك يا مرسي (فتحية) والجلاشة مريحاك اوي ، بلاش بقي تماحيك في شراميطك بليز والبس وخليك كوووول,1,1,-2,-2,-2
493,C8,الش** دول انتوا اللى تعرفوهم يا بتوع نكاح الكاراتيه وحبلى بنجمك واذوب عشقا فيه .. يا ولاد الرقاصه,1,1,-2,-2,-2
495,C10,مشكلتك يا علاء صادق يا ابن الاحبا انك سفيف وبتتركب من مصغرك,1,1,-2,-2,-2
503,C7,رئيس  جمعية خولات مصر يتحدث إليكم من بكابورت وادي النطرون,1,0.7143,-1,-2,-2
513,C6,انت كسمك ياض يا مرسي يابن المرة القحبة,1,1,-2,-2,-2
514,C7,والله ماقحبه ابن قحبه الا انت يا لوطى,1,1,-2,-2,-2
515,C8,خخخخخخخخ و حاطط صورة العرص خالد مشعل ههههه كسمهم جميعا,1,1,-2,-2,-2
516,C9,الزعيم البطل ؟ ياعرص دة بيتناك م العساكر  زيك بالضبط,1,1,-2,-2,-2
517,C10,باين عليك يا ابن الرقاصه احلف انك على ابوك انت لو انت على ابوك جيب عنوانك,1,1,-2,-2,-2
531,C2,كس أمك,1,1,-2,-2,-2
532,C3,ايه يابنت العرص يالبه جه سيدك ده يامتناكه,1,1,-2,-2,-2
533,C4,عام أسود على دماغ اللى خلفوك وجابوك يابن الزوانى أنت وجماعتك الوسخة وابن كوم الفواحش اللى قاعد بيتويت ده,1,1,-2,-2,-2
538,C9,ياله ياهبل يابن الاهبل هي ناقصه ميتين أمك علي المسا ياله يابن العبيطه علي زنزنتك انت جي من بره والا من جوا يابلحه,1,1,-2,-2,-2
539,C10,ايه ياشرموطه روحت شقة العرص بتاعكو ولا لسه يابنت المتناكه,1,1,-2,-2,-2
546,C6,كس امك بجد يعني من غير هزار من قلبي وإلهي,1,0.7143,-2,-2,-1
547,C7,لم نفسك دة رمز لبلد احترم بلدك على الاقل ناس زبالة,1,0.7143,-2,-2,-1
548,C8,كلاب الفلول و #جبهة_الانقاذ تعوي في كل مكان، لا تعبأ بهؤلاء الحثالة تجار الدم والملحدين منهم,1,0.7143,-2,-2,-1
553,C2,يامعرص انا وقفت قدامك نصف ساعه ولم تتجرأ تمد أيدك انت كلب زي العرص الكبير ال اسمه السيسي جبناء,1,1,-2,-2,-2
554,C3,انت قفاك وجعك للدرجة دي ومخليك بتهرتل ومش عارف بتقول ايه .. ع الاقل الاخوان كانت الدولة نفسها ضدهم بس انت اتظبطت بنيويورك,1,0.6429,-2,-2,-1
555,C4,"""قهر قهر قهر اولع ياكلب كلنا يوسف الحسيني وهنفضل نحبه ونتابعه """,1,0.6429,-2,-2,-1
557,C6,"""قدع يوسف يعملك بلوك  وبالشبشب على فمك يا ايها الديوث وانت معارض ليوسف مالك بتتنطط زي القرد في كل تغريده""",1,0.6429,-2,-2,-1
559,C8,الاخوان مايشتموش ياض ياخول طب كس امك وكس اختك وكس جارتك والحسيني سيد اهلك ياكلب,1,1,-2,-2,-2
561,C10,لا ياروح امك ايدنا احنا الى بقت معلمه ع قفا امه,1,0.6429,-2,-2,-1
563,C1,و الله ما في بقرون و معرص غيرك يا عفش يا كلب ساويرس النجس,1,1,-2,-2,-2
568,C6,الراجل الذي ضرب #العرص #يوسف_الحسيني على قفاه يجب عليه غسل يده عشر مرات إحداها بالتراب لان الحسيني انجس من 🐶 الكلب #مصر,1,0.6429,-2,-2,-1
569,C7,خلي الكلاب الي شتمتك في امريكا اولاد جهاد النكاح يجوا هنا مصر واحنا ننيك ابوهم وهلهم واحد واحد,1,0.6429,-2,-2,-1
570,C8,طب ماتيجي انت احسن ولا قاقولك ابعتلي امك او اختك تلقيهم خلوين و ملظلظين,1,0.6429,-2,-2,-1
571,C9,ليه يا كس امك هما احفاد جهاد النكاح زي امك وأختك يا خول يالي رئيسك ومرشدك في السجن بيعملوا مديحه يا عرص,1,1,-2,-2,-2
572,C10,انت واخد بالك انت بتغلط بس انا عزرك انا لو  دا لو و عمر اي واحد حر هيكون مكانك يا معرص ان كل الامهاد زي امك فتحه رجليها,1,1,-2,-2,-2
585,C1,هذا الصنف من البشر أشبه بالكلاب المدللة ، لا يستقوي إلا بوجود صاحبه . ومن الطبيعي أن يتمسك ببقاء حكم العسكر .,1,1,-2,-2,-2
589,C5,"""انا مكنتش متخيل ان الواد ده كلب ومعرص للدرجادى""",1,1,-2,-2,-2
590,C6, يا جماعه مفيش راجل يدهوله اشد من كده ؟,1,0.6923,-2,-2,-1
591,C7,كلب,1,1,-2,-2,-2
592,C8,التعريص لا دين له و لا وطن,1,1,-2,-2,-2
594,C10,حد يدهوله اشد من كده او نادوا الفيل من الجنينه هو ده اللي هيدهوله اشد حاجه في الدنيا بس الحسيني يجهزها ويوسعها للفيل,1,0.6923,-2,-2,-1
596,C1,ولَك يا فطيس يابن التيس فضائحكم  غطت المعموره فوقك خرا وتحت خرا يابن الخرا وبقول اففففففففففففففف ريحه خرا حمار الذي يسمعلك,1,0.6923,-2,-2,0
597,C2,حضرتك من الشخصيات الوثخة بصراحة يا يوسف بجد والله وطبال جيد,1,1,-2,-2,-2
598,C3,والله يا كلب سويرس هتعيش كلب وتموت كلب,1,1,-2,-2,-2
601,C6,ياوطنى  انت وسوارس,1,0.6923,-2,0,-2
603,C8,انت وسخ ونتن ياليتك تسب قطر بس حتى السعودية ماسلمت من قلة تربيتك ياحثالة,1,1,-2,-2,-2
604,C9,"""ياد يا عبيط يا ابن العبيطة الوسم ""الهاشتاق"" #طلعت_ريحتكم يتكلم عن فساد الحكومة اللبنانية يا خريج المدارس الصليبية """,1,1,-2,-2,-2
605,C10,سيبك من قطر وتلهي في الفقر اللي عاصركم ومذمة التسول اللي بليتوا العالم معاكم جاتك خيبة يابن فيفي ونت شكلك عامل زي البطة .,1,0.6923,-2,-1,-2
613,C7,شكرا روح لامك,1,1,-2,-2,-2
621,C4,بس يا عرص,1,0.4444,-1,-2,-2
632,C4,ماذا تريد ايها الحمار الابله من هذه التغريده اتفووووو عليك وعلى اللى مشغلينك,1,0.6667,-1,-2,-2
640,C1,..هو احنا بنحارب حد ..الناس عايز شغل ...الناس كل يوم بتموت ...الله يحرقكم بجاز يا اعلام العار,1,0.6667,-2,-1,-2
642,C3,امك اسمها حنفي,1,0.6667,-2,-1,-2
653,C3,""" احاه ده بجد ؟  ايه الغباء ده ؟ وهو هشام بركات عمل ايه قدام رابعة العدوية ؟""",1,1,-2,-2,-2
657,C7,قتلوه عشان يعدموا السجناء وسموا ميدان الأبطال علي اسمه ..فعلا شوية معرصين. .............,1,1,-2,-2,-2
660,C10,عاش العرص عاش,1,1,-2,-2,-2
673,C1,برافوا يا عرص انا عايزك تفشخ ام الشعب ابن القحبه وتخليه يسب ويلعن اليوم اللى انتخبك فيه,1,1,-2,-2,-2
684,C1,القحبة لما تتوب بتعرص,1,1,-2,-2,-2
687,C4,نعم تحريض على الفسق والقلة الادب كفانا اشكال وسخه كانت زمان تكرم بافعاله الدنيئه وكفى مصر الان السبكى وافلامه الخارجه عن الخلق,1,0.5,-2,-1,-2
688,C5,دي بنت وسخة,1,1,-2,-2,-2
692,C9,ودت الزانيه ان يكن كل النساء. زواني,1,1,-2,-2,-2
694,TWEET,"""#رصد | #شاهد | ""المصري"" بعد استبعادها: ""مرشحين صوروا أفلام إباحية واتقبلوا""""",1,0.6154,-2,-2,0
711,C6,السيسي غايظكم ليه ياخرفان كنتو عايزين تتحكمو في مصر يا كلاب الشعب ضربكم بالجزمه ودا أقل واجب,1,0.6429,-2,-2,-1
720,C4,لو حرامي كان نفع مع ولاد الكلب و العرص السيسي,1,1,-2,-2,-2
731,C4,"""عندما يفيق مساطيل الشعب المصري لحظتها سيفيق المصريين من أوهام العرص الأهطل أستبعد أن يفيق المصريين من حالة السٌكر التي هم عليها""",1,1,-2,-2,-2
733,C6,مجلة رصد و محمود عليان انتو كلاب وعندكو زهايمر السيسي رئيسكم وزاللكم وحارءكم يا خونه السيسي حابس دمكم ولا تقدرو تلمسوه يامعفنين,1,0.6429,-2,-2,-1
734,C7,هانفوق لما امك تبيض ياكلب,1,1,-2,-2,-2
735,C8,كس امك,1,1,-2,-2,-2
750,C1,الاباحية فقط !!!,1,0.7143,-2,-2,-1
752,C3,"""بس تسمحلك تنتج افلام دعارة ووساخه وعري واغراء ومجون وفواحش لكن افلام دينيه  لا يعععععععع""",1,1,-2,-2,-2
753,C4,لا نريد أفلاما دينية من سوقة ومرتزقة يحملون فكرا صهيو صليبي.. أيها السبكي سحقا لك وبعدا لأفلامك الهابطة الساقطة!,1,0.6429,-1,-2,-2
754,C5,متخصصون لافلام الدعاره,1,0.7143,-2,-2,-1
759,C10,الله يحرقك وياخدك استغفر الله حتى شكلك دعارة,1,0.6429,-1,-2,-2
762,C2,القناة قدمت إعتذار عن الوصف ده ياشبكة دعارة اﻹخوان ياأنجاس,1,0.6923,-2,-1,-2
763,C3,"""حمارة  بتهق اخلاق الحمير  السيسية  بتاع  الرفس حمارهم الكبير  عرص سيسى مركوب الكل: يهود نصارى حتى اثيوبيا ركبته""",1,1,-2,-2,-2
769,C9,اوسخ من اعلامنا مفيش .,1,0.6154,-1,-2,-2
774,C3,لا أقرقش أمثالك يا حقير وأمثال الكداب علاء وحالتي كدة بتبقى فل، غور بلوك,1,0.5294,-2,-1,-2
777,C6,الرقاصين احسن من المعرصين,1,0.5882,-1,-1,-2
781,C10,عيلاء متكيف هناك ونايم على بطنه وسايب شوية خولات يشتموا بداله اقولكم خليها تاكلكم يا علوق مصر مش حترجع لورا يا شوية شواذ,1,1,-2,-2,-2
784,C2,اخرسي ياقحبة يابن الزنا والعهر والشرمطة,1,1,-2,-2,-2
785,C3,كس ام دين امك يا حودة,1,1,-2,-2,-2
787,C5,مش احسنوما يعيش قواد زي ابوك يبن الزنا والعهر,1,1,-2,-2,-2
789,C7,الاسواني اشرف من امك النجسة يابن للنجس,1,1,-2,-2,-2
796,C3,لا تحزن لا تيأس .. حين ينتهون سيأتى الدور على المهيجون والمعرصون والتافهون حينها ستجد دورك وفى المقدمه...,1,1,-2,-2,-2
798,C5,حضرتك كده هاتزعل الامنجيه واللصوص وكل ولاد الكلب دول مننا.. هايرجعوا فاكرين ان الحج طهرها... والبور بتاعهم هايعلي علينا,1,1,-2,-2,-2
800,C7,خليك عندك ياخول,1,1,-2,-2,-2
805,C1,هو حضرتك مولود والتعريص في دمك ولا هواية وكبرت معاك ؟انت مش شايف إن الناس كارهة ريحتك يالولو ؟بس مسيرك ياملوخية تيجي تحت المخرطة,1,0.6429,-2,-2,-1
813,C9,اتفرج علي الابراشي . بيشحتوا شحاته حقّهم  بمذله وانكسار . موت وفضيحه وجرسه . خساره علي شعب رخيص و محدش رخصه غيره,1,0.7143,-2,-1,-2
818,C3,"""مصدق أنت المسلسل ده 😂😂😂  الأن نحن في عمارة يعقوبيان   وأنت وآمثالك يتعمل فيكم الأحا""",1,0.6667,-1,-2,-2
820,C5,يادكتور هيعدله بطابور من المعرصين الأوساخ تجار الوطنية,1,0.6667,-1,-2,-2
825,C10,"""البلد بلدنا والدستور بتاعنا نغيره نعمله اراطيس لب  نطيره نحطه فى خرمك انت مال اهلك""",1,0.6667,-1,-2,-2
827,C1,اول مره تقول حاجه صح يا بن الوسخه يا شاذ,1,0.7143,-1,-2,-2
829,C3,مين قالك انى مدعيه الفضيله يابن المتناكه علاء الاسوانى بن مره وسخه كمان,1,0.7143,-1,-2,-2
849,C1,ما خلاص يا علاء عرفنا - ارحم ديك ابونا بقا,1,0.6429,-2,-2,-1
